triple,verbalization
fred:AthletePerformance :mappedTo :SOURCE .,"[TextBlock(text=""The image shows an athlete's performance during competition."", type='text')]"
:SOURCE a :SpatialPrimitive .,"[TextBlock(text='This triple is not present in the provided graph.', type='text')]"
fred:celebrate_1 :mappedTo :PATH .,"[TextBlock(text='The athlete celebrates victory on the track.', type='text')]"
:PATH a :SpatialPrimitive .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
fred:Victory :mappedTo :GOAL .,"[TextBlock(text=""The athlete's victory represents achieving a goal."", type='text')]"
:GOAL a :SpatialPrimitive .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
fred:OlympicMoment :evokes :SOURCE_PATH_GOAL .,"[TextBlock(text='The Olympic moment represents a journey from preparation to achievement.', type='text')]"
:SOURCE_PATH_GOAL a :ImageSchema .,"[TextBlock(text='This triple is not present in the provided graph.', type='text')]"
fred:Stadium :hasSpatialRelation :CONTAINMENT .,"[TextBlock(text='The stadium contains the scene.', type='text')]"
:CONTAINMENT a :ImageSchema .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
fred:athlete_1 :associatedWith :CENTER .,"[TextBlock(text='The athlete is positioned in the center.', type='text')]"
pa:CheeringSpectators :associatedWith :PERIPHERY .,"[TextBlock(text='The spectators are cheering from the background of the scene.', type='text')]"
:CENTER-PERIPHERY a :ImageSchema .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:Victory :associatedWith :FORCE .,"[TextBlock(text='This triple does not appear in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
:FORCE a :ImageSchema .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
