triple,verbalization
fred:startingLine_1 a fred:SpatialPrimitive ;,"[TextBlock(text='This appears to be an invalid request as the triple ""fred:startingLine_1 a fred:SpatialPrimitive"" is not present in the provided knowledge graph.', type='text')]"
"rdfs:label ""SOURCE"" .","[TextBlock(text='The label for this entity is ""SOURCE""', type='text')]"
fred:trackPath_1 a fred:SpatialPrimitive ;,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
"rdfs:label ""PATH"" .","[TextBlock(text='This triple is not present in the provided graph.', type='text')]"
fred:finishLine_1 a fred:SpatialPrimitive ;,"[TextBlock(text='This triple does not appear in the provided knowledge graph context.', type='text')]"
"rdfs:label ""GOAL"" .","[TextBlock(text='The label is ""GOAL""', type='text')]"
fred:containingStadium_1 a fred:SpatialPrimitive ;,"[TextBlock(text='This triple cannot be verbalized directly from the given context, as the triple ""fred:containingStadium_1 a fred:SpatialPrimitive"" is not present in the provided knowledge graph.', type='text')]"
"rdfs:label ""CONTAINMENT"" .","[TextBlock(text='The label is ""CONTAINMENT""', type='text')]"
fred:competitionScene_1 a fred:Scene ;,"[TextBlock(text='A competition scene is depicted.', type='text')]"
dul:evokes fred:imageSchema_1 .,"[TextBlock(text='This triple is not present in the provided graph data, so I cannot verbalize it.', type='text')]"
fred:imageSchema_1 a fred:ImageSchema ;,"[TextBlock(text='This is an image schema.', type='text')]"
"rdfs:label ""SOURCE_PATH_GOAL"" .","[TextBlock(text='The label is ""SOURCE_PATH_GOAL""', type='text')]"
fred:startingLine_1 dul:associatedWith fred:race_1 ;,"[TextBlock(text='The starting line is associated with the race.', type='text')]"
dul:hasQuality fred:startingLine_1 .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:trackPath_1 dul:associatedWith fred:race_1 ;,"[TextBlock(text='The track is associated with the race.', type='text')]"
dul:hasQuality fred:trackPath_1 .,"[TextBlock(text='This triple does not appear in the provided graph data, so I cannot provide a valid verbalization.', type='text')]"
fred:finishLine_1 dul:associatedWith fred:race_1 ;,"[TextBlock(text='The finish line is associated with the race.', type='text')]"
dul:hasQuality fred:finishLine_1 .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:containingStadium_1 dul:associatedWith fred:stadium_1 ;,"[TextBlock(text='The stadium is associated with the event.', type='text')]"
dul:hasQuality fred:containingStadium_1 .,"[TextBlock(text='This triple does not appear in the provided graph data, so I cannot provide a valid verbalization.', type='text')]"
