triple,verbalization
fred:athlete_1 a fred:FemaleAthlete ;,"[TextBlock(text='The athlete is a female athlete.', type='text')]"
dul:hasQuality fred:Jubilant ;,"[TextBlock(text='The athlete is jubilant', type='text')]"
owl:sameAs wd:Q11694 .,"[TextBlock(text='This entity is identified as Q11694 in Wikidata.', type='text')]"
fred:uniform_1 a fred:Uniform ;,"[TextBlock(text='The item is a uniform.', type='text')]"
dul:hasQuality fred:country_1 ;,"[TextBlock(text='is from Saint Lucia', type='text')]"
owl:sameAs wd:Q1520785 .,"[TextBlock(text='This triple cannot be verbalized since neither the subject nor the full triple is provided in the given context. The only owl:sameAs triples in the context relate to Saint Lucia (Q760) and United States (Q30), not Q1520785.', type='text')]"
fred:jersey_1 a fred:Jersey ;,"[TextBlock(text='The item is a jersey.', type='text')]"
owl:sameAs wd:Q1520785 ;,"[TextBlock(text='This triple is not present in the provided graph data.', type='text')]"
dul:hasQuality fred:string-entity_1 .,"[TextBlock(text='The jersey displays ""ALFRED""', type='text')]"
fred:spectator_1 a fred:Spectator ;,"[TextBlock(text='There are spectators present at the event.', type='text')]"
dul:associatedWith fred:stadium_1 ;,"[TextBlock(text='is associated with the stadium', type='text')]"
fred:in fred:background_1 ;,"[TextBlock(text='spectators are in the background', type='text')]"
owl:sameAs wd:Q17155423 .,"[TextBlock(text='This triple cannot be verbalized since neither subject nor object is provided in the given triple pattern. A complete triple needs both a subject and object to connect with owl:sameAs.', type='text')]"
fred:stadium_1 a fred:Stadium ;,"[TextBlock(text='The stadium is a sports venue.', type='text')]"
owl:sameAs wd:Q16917 .,"[TextBlock(text=""This appears to be an incomplete triple as it's missing a subject. Without knowing what entity is being equated with Wikidata entity Q16917, I cannot provide a meaningful verbalization."", type='text')]"
fred:race_1 a pbrs:race-02 ;,"[TextBlock(text='A race competition is taking place.', type='text')]"
"dul:hasMember fred:athlete_1,","[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:person_1 ;,"[TextBlock(text='a fellow competitor', type='text')]"
owl:sameAs wd:Q13406463 .,"[TextBlock(text='This triple cannot be verbalized since neither subject nor object is provided in the given triple - it only shows the predicate owl:sameAs and object wd:Q13406463 without a subject to establish what is being equated.', type='text')]"
fred:flag_1 a fred:Flag ;,"[TextBlock(text='An American flag is present.', type='text')]"
dul:hasQuality fred:country_2 ;,"[TextBlock(text='has American nationality', type='text')]"
owl:sameAs wd:Q614670 .,"[TextBlock(text='This triple cannot be verbalized since neither the subject nor the object is provided in the given context - only the predicate ""owl:sameAs"" and object ""wd:Q614670"" are shown.', type='text')]"
fred:country_1 a amr:Country ;,"[TextBlock(text='Saint Lucia is a country.', type='text')]"
"owl:sameAs dbpedia:Saint_Lucia,","[TextBlock(text='Saint Lucia is the country being referenced.', type='text')]"
wd:Q760 ;,"[TextBlock(text='Saint Lucia', type='text')]"
"schema:name ""Saint_Lucia"" ;","[TextBlock(text='The name is ""Saint Lucia""', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:country_2 a amr:Country ;,"[TextBlock(text='America is a country.', type='text')]"
"owl:sameAs dbpedia:United_States,","[TextBlock(text='The entity is identified as the United States.', type='text')]"
wd:Q30 ;,"[TextBlock(text='America', type='text')]"
"schema:name ""America"" ;","[TextBlock(text='The name is ""America""', type='text')]"
dul:hasMember fred:spectator_1 .,"[TextBlock(text='The spectator is a member of the group.', type='text')]"
fred:game_1 a amr:Game ;,"[TextBlock(text='The entity is an Olympic Games competition.', type='text')]"
"owl:sameAs dbpedia:Olympic_Games,","[TextBlock(text='The Olympic Games', type='text')]"
wd:Q5389 ;,"[TextBlock(text='Olympic Games', type='text')]"
"schema:name ""Olympic"" ;","[TextBlock(text='The name is ""Olympic""', type='text')]"
"dul:hasMember fred:athlete_1,","[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:spectator_1 .,"[TextBlock(text='spectators in the stadium', type='text')]"
fred:win_1 a pbrs:win-01 ;,"[TextBlock(text='The athlete achieves victory.', type='text')]"
pblr:win-01.winner fred:athlete_1 ;,"[TextBlock(text='The jubilant female athlete won the race.', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:celebrate_1 a pbrs:celebrate-01 ;,"[TextBlock(text='The athlete celebrates her victory.', type='text')]"
vn.role:Location fred:track_1 ;,"[TextBlock(text='The celebration takes place on the track.', type='text')]"
pblr:celebrate-01.honored fred:win_1 ;,"[TextBlock(text='The athlete celebrates winning the race', type='text')]"
pblr:celebrate-01.honorer fred:athlete_1 ;,"[TextBlock(text='The jubilant female athlete celebrates', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:pride_1 a pbrs:pride-01 ;,"[TextBlock(text='Pride is experienced.', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
