triple,verbalization
fred:PotentialLoss_1 a dul:Situation ;,"[TextBlock(text='A potential loss exists.', type='text')]"
dul:hasQuality fred:International ;,"[TextBlock(text='The competition has an international character.', type='text')]"
dul:associatedWith fred:game_1 ;,"[TextBlock(text='has Olympic qualities', type='text')]"
dul:sameSettingAs fred:race_1 .,"[TextBlock(text='The athlete is competing in a race.', type='text')]"
fred:PotentialLoss_2 a dul:Situation ;,"[TextBlock(text='A potential loss is a type of situation.', type='text')]"
dul:hasQuality fred:Human ;,"[TextBlock(text='has human qualities', type='text')]"
dul:associatedWith fred:spirit_1 ;,"[TextBlock(text='The spirit is associated with the Olympic Games.', type='text')]"
dul:sameSettingAs fred:embody_1 .,"[TextBlock(text='The embodiment occurs in the same setting.', type='text')]"
fred:PotentialLoss_3 a dul:Situation ;,"[TextBlock(text='A potential loss is a type of situation.', type='text')]"
dul:hasQuality fred:Joy ;,"[TextBlock(text='has the quality of joy', type='text')]"
dul:associatedWith fred:athlete_1 ;,"[TextBlock(text='The athlete is associated with the scene.', type='text')]"
dul:sameSettingAs fred:win_1 .,"[TextBlock(text=""The athlete's victory occurred in the same setting."", type='text')]"
pbrs:celebrate-01 pbrs:subsumedUnder fred:PotentialLoss_1 .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
pbrs:embody-01 pbrs:subsumedUnder fred:PotentialLoss_2 .,"[TextBlock(text='I apologize, but I don\'t see the exact triple ""pbrs:embody-01 pbrs:subsumedUnder fred:PotentialLoss_2"" in the provided graph. Without this specific triple in the context, I cannot provide an accurate verbalization.', type='text')]"
pbrs:win-01 pbrs:subsumedUnder fred:PotentialLoss_3 .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
