triple,verbalization
fred:VictoryCelebration a moral:MoralValueDrivenCoercion ;,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
moral:instantiationOf moral:PersonalAndNationalPride ;,"[TextBlock(text='The moment symbolizes both personal and national pride.', type='text')]"
moral:gainFrom moral:MoralValueGain .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
moral:PersonalAndNationalPride a moral:PositiveMoralValueGain ;,"[TextBlock(text=""The athlete's celebration represents both personal achievement and national pride for Saint Lucia, embodying positive moral value."", type='text')]"
rdfs:subClassOf d0:Characteristic .,"[TextBlock(text='Spirit is a type of characteristic.', type='text')]"
fred:HardWorkAndDedication a moral:MoralValueDrivenCoercion ;,"[TextBlock(text='The image represents hard work and dedication paying off through athletic achievement.', type='text')]"
moral:instantiationOf moral:AchievementThroughEffort ;,"[TextBlock(text='The scene exemplifies achievement through dedicated effort and hard work.', type='text')]"
moral:fulfills moral:MoralDue .,"[TextBlock(text='The athlete fulfills her moral obligations through sportsmanship and fair competition.', type='text')]"
moral:AchievementThroughEffort a moral:MoralDue ;,"[TextBlock(text=""The athlete's victory represents achievement through dedicated effort."", type='text')]"
rdfs:subClassOf d0:Process .,"[TextBlock(text='This class is a type of process.', type='text')]"
fred:OlympicSpirit a moral:MoralValueDrivenCoercion ;,"[TextBlock(text='The Olympic spirit represents a moral value that inspires and guides behavior.', type='text')]"
moral:instantiationOf moral:Sportsmanship ;,"[TextBlock(text='This scene exemplifies true sportsmanship.', type='text')]"
moral:exemplifies moral:EthicalVirtue .,"[TextBlock(text='The scene exemplifies ethical virtue.', type='text')]"
moral:Sportsmanship a moral:EthicalVirtue ;,"[TextBlock(text='Sportsmanship is an ethical virtue.', type='text')]"
rdfs:subClassOf wn30:supersense-noun_attribute .,"[TextBlock(text='Spirit is a type of attribute.', type='text')]"
