triple,verbalization
fred:rest_1 a pbrs:rest-01 ;,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
dul:associatedWith fred:human_1 ;,"[TextBlock(text='The scene is associated with human potential.', type='text')]"
dul:associatedWith fred:finish_1 ;,"[TextBlock(text='The athlete is associated with finishing the race.', type='text')]"
dul:hasQuality fred:joy_1 .,"[TextBlock(text='The athlete is filled with joy.', type='text')]"
fred:future_compete_1 a pbrs:compete-01 ;,"[TextBlock(text='A competition takes place', type='text')]"
dul:associatedWith fred:athlete_1 ;,"[TextBlock(text='The athlete is associated with the scene.', type='text')]"
dul:associatedWith fred:game_1 ;,"[TextBlock(text='has Olympic qualities', type='text')]"
dul:hasQuality fred:Potential .,"[TextBlock(text='has potential', type='text')]"
fred:future_pride_1 a pbrs:pride-01 ;,"[TextBlock(text='A feeling of pride exists.', type='text')]"
dul:associatedWith fred:country_1 ;,"[TextBlock(text='The uniform is associated with Saint Lucia', type='text')]"
dul:associatedWith fred:athlete_1 .,"[TextBlock(text='The athlete is associated with the event.', type='text')]"
fred:future_inspire_1 a pbrs:inspire-01 ;,"[TextBlock(text='The scene inspires', type='text')]"
dul:associatedWith fred:scene_1 ;,"[TextBlock(text='The scene is associated with capturing raw emotion and athletic achievement.', type='text')]"
dul:associatedWith fred:athlete_1 .,"[TextBlock(text='The athlete is associated with the event.', type='text')]"
