triple,verbalization
fred:crowd_1 dul:hasQuality fred:FullCapacity ;,"[TextBlock(text='The stadium is filled to capacity.', type='text')]"
pbrs:crowd-01.fullness fred:stadium_1 .,"[TextBlock(text='The stadium is filled to capacity.', type='text')]"
"fred:stadium_1 wn30schema:gloss ""a large capacity building for sports or entertainment events that becomes full during major events""@en-us .","[TextBlock(text='A stadium is a large structure designed for open-air sports or entertainment events.', type='text')]"
fred:athlete_1 dul:hasQuality fred:Performance-Place ;,"[TextBlock(text='I apologize, but I don\'t see the triple ""fred:athlete_1 dul:hasQuality fred:Performance-Place"" in the provided graph. Therefore, I cannot verbalize it. The graph shows that fred:athlete_1 has the quality ""Jubilant"", but not ""Performance-Place"".', type='text')]"
pbrs:perform-01.place-of-action fred:track_1 .,"[TextBlock(text='The action takes place on the track.', type='text')]"
"fred:track_1 wn30schema:gloss ""a course used for running events, associated with athletic participation""@en-us .","[TextBlock(text='The track refers to a course used for running events, associated with athletic participation.', type='text')]"
fred:flag_1 dul:associatedWith fred:national-01_1 ;,"[TextBlock(text='The American flag is visible in the scene.', type='text')]"
fred:mean fred:national-pride_1 .,"[TextBlock(text='The triple cannot be verbalized as it does not appear in the provided graph.', type='text')]"
fred:national-pride_1 a fred:NationPride-01 ;,"[TextBlock(text='The athlete feels national pride.', type='text')]"
pblr:pride-01.focus fred:country_1 .,"[TextBlock(text='Saint Lucia is the focus of pride.', type='text')]"
fred:country_2 fred:mean fred:national_emblem_1 .,"[TextBlock(text='The American flag represents a national emblem.', type='text')]"
fred:national_emblem_1 a fred:Flag ;,"[TextBlock(text='A flag serves as a national emblem.', type='text')]"
dul:represents fred:national_1 .,"[TextBlock(text='This triple does not appear in the provided graph data, so I cannot verbalize it.', type='text')]"
fred:national_1 a fred:Country ;,"[TextBlock(text='This triple is not present in the provided graph.', type='text')]"
owl:sameAs fred:country_2 .,"[TextBlock(text='The American flag is visible in the scene.', type='text')]"
