triple,verbalization
fred:ArmsOutstretched rdfs:subClassOf dul:Position ;,"[TextBlock(text='Arms outstretched is a type of position.', type='text')]"
owl:equivalentClass wn30:synset-outstretched-adjective-1 .,"[TextBlock(text='The image shows arms outstretched in a triumphant pose.', type='text')]"
fred:Victory :symbolOf fred:Triumph .,"[TextBlock(text='Victory symbolizes triumph.', type='text')]"
fred:ArmsOutstretched :symbolOf fred:Victory .,"[TextBlock(text='Arms outstretched symbolizes victory.', type='text')]"
fred:Stadium :symbolOf fred:GlobalStage .,"[TextBlock(text='The stadium represents a global stage for athletic competition.', type='text')]"
fred:UniformWithFlag :symbolOf fred:NationalIdentity .,"[TextBlock(text='A uniform with a flag symbolizes national identity.', type='text')]"
fred:Track :symbolOf fred:LifeJourney .,"[TextBlock(text=""The track symbolizes life's journey."", type='text')]"
fred:Race :symbolOf fred:Competition .,"[TextBlock(text='A race symbolizes competition.', type='text')]"
fred:Behind :symbolOf fred:Hierarchy .,"[TextBlock(text='This triple does not appear in the provided knowledge graph, so I cannot provide a valid verbalization for it.', type='text')]"
fred:FinishLine :symbolOf fred:Achievement .,"[TextBlock(text='The finish line symbolizes achievement.', type='text')]"
:symbolOf a owl:ObjectProperty ;,"[TextBlock(text='""symbolOf"" is a property that connects one thing to what it symbolizes', type='text')]"
"rdfs:label ""is symbol of"" .","[TextBlock(text='represents or symbolizes', type='text')]"
fred:Triumph rdfs:subClassOf dul:Situation ;,"[TextBlock(text='A triumph is a type of situation.', type='text')]"
owl:equivalentClass wn30:synset-triumph-noun-1 .,"[TextBlock(text='This triple is not present in the provided graph data, so I cannot verbalize it.', type='text')]"
fred:GlobalStage rdfs:subClassOf dul:Situation ;,"[TextBlock(text='A global stage is a type of situation.', type='text')]"
owl:equivalentClass wn30:synset-worldwide-adjective-1 .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:NationalIdentity rdfs:subClassOf dul:SocialConcept ;,"[TextBlock(text='National identity is a type of social concept.', type='text')]"
owl:equivalentClass wn30:synset-national_identity-noun-1 .,"[TextBlock(text='I apologize, but I don\'t see the triple ""owl:equivalentClass wn30:synset-national_identity-noun-1"" in the provided knowledge graph. Without this specific triple in the context, I cannot provide an accurate verbalization.', type='text')]"
fred:LifeJourney rdfs:subClassOf dul:Situation ;,"[TextBlock(text='A life journey is a type of situation.', type='text')]"
owl:equivalentClass wn30:synset-life_journey-noun-1 .,"[TextBlock(text='I apologize, but I don\'t see the triple ""owl:equivalentClass wn30:synset-life_journey-noun-1"" in the provided knowledge graph. Without this specific triple in the context, I cannot provide an accurate verbalization of it.', type='text')]"
fred:Competition rdfs:subClassOf dul:Situation ;,"[TextBlock(text='Competition is a type of situation.', type='text')]"
owl:equivalentClass wn30:synset-competition-noun-1 .,"[TextBlock(text='This class is equivalent to a competition, which is a contest between rivals.', type='text')]"
fred:Hierarchy rdfs:subClassOf dul:Situation ;,"[TextBlock(text='A Hierarchy is a type of Situation.', type='text')]"
owl:equivalentClass wn30:synset-hierarchy-noun-1 .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:Achievement rdfs:subClassOf dul:Situation ;,"[TextBlock(text='Achievement is a type of situation.', type='text')]"
owl:equivalentClass wn30:synset-achievement-noun-1 .,"[TextBlock(text='The class is equivalent to ""something that has been accomplished successfully""', type='text')]"
