triple,verbalization
# Implicature: The athlete is highly skilled and trained,"[TextBlock(text='The athlete is a professionally trained competitor who has dedicated themselves to athletic excellence.', type='text')]"
fred:athlete_1 a fred:Athlete ;,"[TextBlock(text='The athlete is a competitor.', type='text')]"
dul:hasQuality fred:Athletic .,"[TextBlock(text='has athletic quality', type='text')]"
# Implicature: The athlete has trained hard,"[TextBlock(text=""The athlete's victory reflects her dedicated training and preparation."", type='text')]"
fred:athlete_1 a fred:Athlete ;,"[TextBlock(text='The athlete is a competitor.', type='text')]"
dul:hasQuality fred:dedicated_1 .,"[TextBlock(text='has the quality of being dedicated', type='text')]"
# Implicature: The crowd is cheering for the athlete,"[TextBlock(text='The spectators in the stadium are cheering for the athlete.', type='text')]"
fred:cheer_1 a pbrs:cheer-02 ;,"[TextBlock(text='Cheering occurs at the event.', type='text')]"
pblr:cheer-02.clapper fred:spectator_1 ;,"[TextBlock(text='The spectators cheer from the stands.', type='text')]"
pblr:cheer-02.cheeredEntity fred:athlete_1 .,"[TextBlock(text='The spectators cheered for the jubilant female athlete.', type='text')]"
# Implicature: The athlete is wearing the uniform of Saint Lucia,"[TextBlock(text='The athlete is competing for Saint Lucia.', type='text')]"
fred:uniform_1 a fred:Uniform ;,"[TextBlock(text='The item is a uniform.', type='text')]"
dul:hasQuality fred:country_1 .,"[TextBlock(text='is from Saint Lucia', type='text')]"
# Implicature: The event is part of the Olympic Games,"[TextBlock(text='The athlete is competing in the Olympic Games.', type='text')]"
fred:compete_2 a pbrs:compete-01 ;,"[TextBlock(text='The competition takes place.', type='text')]"
dul:associatedWith fred:game_1 .,"[TextBlock(text='has Olympic qualities', type='text')]"
# Implicature: The athlete is a participant in the Olympic Games,"[TextBlock(text='The athlete is competing in the Olympic Games.', type='text')]"
fred:athlete_1 a fred:Athlete ;,"[TextBlock(text='The athlete is a competitor.', type='text')]"
dul:associatedWith fred:game_1 .,"[TextBlock(text='has Olympic qualities', type='text')]"
# Implicature: The athlete is representing her country,"[TextBlock(text='The athlete is wearing a Saint Lucia uniform, representing her nation in international competition.', type='text')]"
fred:athlete_1 a fred:Athlete ;,"[TextBlock(text='The athlete is a competitor.', type='text')]"
dul:hasQuality fred:pride-01_1 .,"[TextBlock(text='The athlete displays national pride.', type='text')]"
# Implicature: The event is inspiring to others,"[TextBlock(text='The triumphant scene serves as an inspiration to others.', type='text')]"
fred:inspire_1 a pbrs:inspire-01 ;,"[TextBlock(text='The scene serves as an inspiration.', type='text')]"
pblr:inspire-01.causer-of-inspiration fred:scene_1 ;,"[TextBlock(text='The scene serves as an inspiration.', type='text')]"
pblr:inspire-01.inspiredEntity fred:spectator_1 .,"[TextBlock(text='The spectators were inspired by the scene.', type='text')]"
