triple,verbalization
fred:hasExpectedEmotion a owl:ObjectProperty .,"[TextBlock(text='""hasExpectedEmotion"" is a type of object property that relates entities to their anticipated emotional states.', type='text')]"
fred:hasExpectedPhysicalState a owl:ObjectProperty .,"[TextBlock(text='hasExpectedPhysicalState is a type of object property', type='text')]"
fred:hasExpectedMentalState a owl:ObjectProperty .,"[TextBlock(text='""hasExpectedMentalState"" represents a relationship between entities where one has an anticipated psychological or emotional condition.', type='text')]"
fred:athlete_1,"[TextBlock(text='a jubilant female athlete', type='text')]"
fred:hasExpectedEmotion wn30:synset-pride-noun-1 ;,"[TextBlock(text='The athlete feels pride in her victory.', type='text')]"
fred:hasExpectedEmotion wn30:synset-euphoria-noun-1 ;,"[TextBlock(text='The athlete is expected to feel euphoric.', type='text')]"
fred:hasExpectedPhysicalState wn30:synset-exhaustion-noun-1 ;,"[TextBlock(text='The athlete appears exhausted.', type='text')]"
fred:hasExpectedMentalState wn30:synset-accomplishment-noun-1 .,"[TextBlock(text='The athlete feels a sense of accomplishment.', type='text')]"
fred:person_1,"[TextBlock(text='fellow competitor', type='text')]"
fred:hasExpectedEmotion wn30:synset-disappointment-noun-1 ;,"[TextBlock(text=""The athlete's competitors likely felt disappointment."", type='text')]"
fred:hasExpectedMentalState wn30:synset-determination-noun-2 .,"[TextBlock(text='The athlete shows determination.', type='text')]"
fred:spectator_1,"[TextBlock(text='spectators in the stadium cheering', type='text')]"
fred:hasExpectedEmotion wn30:synset-excitement-noun-1 ;,"[TextBlock(text='The athlete is expected to feel excitement.', type='text')]"
fred:hasExpectedEmotion wn30:synset-admiration-noun-1 .,"[TextBlock(text='The athlete inspires admiration.', type='text')]"
