triple,verbalization
fred:PersonalAchievement rdfs:subClassOf dul:Event ;,"[TextBlock(text='Personal achievement is a type of event.', type='text')]"
owl:equivalentClass wn30:synset-achievement-noun-1 .,"[TextBlock(text='The class is equivalent to ""something that has been accomplished with effort""', type='text')]"
fred:MoralValueGain rdfs:subClassOf dul:Event ;,"[TextBlock(text='A moral value gain is a type of event.', type='text')]"
owl:equivalentClass wn30:synset-goodness-noun-1 .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:Dedication rdfs:subClassOf dul:Quality ;,"[TextBlock(text='Dedication is a type of quality.', type='text')]"
owl:equivalentClass wn30:synset-dedication-noun-2 .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
fred:HardWork rdfs:subClassOf dul:Event ;,"[TextBlock(text='Hard work is a type of event.', type='text')]"
owl:equivalentClass wn30:synset-work-noun-1 .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:Inspiration rdfs:subClassOf dul:Event ;,"[TextBlock(text='Inspiration is a type of event.', type='text')]"
owl:equivalentClass wn30:synset-inspiration-noun-1 .,"[TextBlock(text='This triple is not present in the provided graph data, so I cannot verbalize it.', type='text')]"
fred:Representation rdfs:subClassOf dul:Event ;,"[TextBlock(text='Representation is a type of event.', type='text')]"
owl:equivalentClass wn30:synset-representation-noun-1 .,"[TextBlock(text='I apologize, but I don\'t see the triple ""owl:equivalentClass wn30:synset-representation-noun-1"" in the provided graph data. Without this specific triple in the context, I cannot provide an accurate verbalization of it.', type='text')]"
fred:achieve_1 fred:instantiationOf fred:PersonalAchievement .,"[TextBlock(text='The athletic achievement represents a personal accomplishment.', type='text')]"
fred:PersonalAchievement dul:hasQuality fred:MoralValueGain .,"[TextBlock(text='This triple does not appear in the provided knowledge graph.', type='text')]"
"fred:capture_1 dul:associatedWith fred:Dedication, fred:HardWork .","[TextBlock(text='The scene captures both dedication and hard work.', type='text')]"
fred:inspire_1 fred:instantiationOf fred:Inspiration .,"[TextBlock(text='The scene inspires through its representation of athletic achievement.', type='text')]"
fred:Inspiration dul:hasQuality fred:MoralValueGain .,"[TextBlock(text='This triple does not appear in the provided knowledge graph.', type='text')]"
fred:celebrate_1 fred:instantiationOf fred:Representation .,"[TextBlock(text='The celebration represents a symbolic moment of achievement.', type='text')]"
fred:Representation dul:hasQuality fred:MoralValueGain .,"[TextBlock(text='The representation demonstrates moral value gain.', type='text')]"
