triple,verbalization
fred:MedalCeremony rdfs:subClassOf dul:Event ;,"[TextBlock(text='A medal ceremony is a type of event.', type='text')]"
owl:equivalentClass wn30:synset-ceremony-noun-1 .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:future_ceremony_1 a fred:MedalCeremony ;,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
dul:hasParticipant fred:athlete_1 ;,"[TextBlock(text='The athlete participates in the event.', type='text')]"
dul:follows fred:win_1 .,"[TextBlock(text=""The athlete's victory precedes the celebration."", type='text')]"
fred:future_anthem_1 a pbrs:play-01 ;,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
dul:hasQuality fred:country_1 ;,"[TextBlock(text='is from Saint Lucia', type='text')]"
dul:follows fred:future_ceremony_1 .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:future_podium_1 a wn30:synset-podium-noun-1 ;,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
dul:hasParticipant fred:athlete_1 ;,"[TextBlock(text='The athlete participates in the event.', type='text')]"
dul:follows fred:win_1 .,"[TextBlock(text=""The athlete's victory precedes the celebration."", type='text')]"
fred:future_medal_1 a wn30:synset-medal-noun-1 ;,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
dul:hasParticipant fred:athlete_1 ;,"[TextBlock(text='The athlete participates in the event.', type='text')]"
dul:follows fred:win_1 .,"[TextBlock(text=""The athlete's victory precedes the celebration."", type='text')]"
