triple,verbalization
# Symbolic Coercion: The athlete's victory represents hard work and dedication,"[TextBlock(text=""The athlete's triumphant moment symbolizes dedication and hard work."", type='text')]"
fred:win_1 a pbrs:win-01 ;,"[TextBlock(text='The athlete achieves victory.', type='text')]"
pblr:win-01.winner fred:athlete_1 ;,"[TextBlock(text='The jubilant female athlete won the race.', type='text')]"
pblr:symbolize-01.symbol fred:achieve_1 .,"[TextBlock(text='The moment symbolizes athletic achievement.', type='text')]"
# Symbolic Coercion: The moment represents personal and national pride,"[TextBlock(text='The moment symbolizes both personal achievement and national pride.', type='text')]"
fred:moment_1 a fred:Moment ;,"[TextBlock(text='A moment occurs.', type='text')]"
pblr:symbolize-01.symbol fred:pride-01_1 .,"[TextBlock(text='The moment symbolizes national pride.', type='text')]"
# Symbolic Coercion: The flag represents the nation,"[TextBlock(text='The American flag symbolizes national pride and identity.', type='text')]"
fred:flag_1 a fred:Flag ;,"[TextBlock(text='An American flag is present.', type='text')]"
pblr:symbolize-01.symbol fred:country_1 .,"[TextBlock(text='Saint Lucia is symbolized in this moment', type='text')]"
# Symbolic Coercion: The Olympic spirit represents international competition,"[TextBlock(text='The Olympic spirit symbolizes international athletic competition.', type='text')]"
fred:spirit_1 a fred:Spirit ;,"[TextBlock(text='The spirit is a fundamental emotional and activating principle.', type='text')]"
pblr:symbolize-01.symbol fred:compete_2 .,"[TextBlock(text='The international competition symbolizes the Olympic spirit.', type='text')]"
# Symbolic Coercion: The scene represents the realization of human potential,"[TextBlock(text='The inspiring scene captures the embodiment of realized human potential.', type='text')]"
fred:scene_1 a fred:Scene ;,"[TextBlock(text='The scene depicts a visual moment or view.', type='text')]"
pblr:symbolize-01.symbol fred:potential_1 .,"[TextBlock(text='The moment symbolizes potential.', type='text')]"
# Symbolic Coercion: The jersey with 'ALFRED' represents the athlete,"[TextBlock(text=""The jersey labeled 'ALFRED' identifies the athlete."", type='text')]"
fred:string-entity_1 a amr:String-entity ;,"[TextBlock(text='""ALFRED"" is a text string.', type='text')]"
pblr:symbolize-01.symbol fred:athlete_1 ;,"[TextBlock(text='The athlete symbolizes the moment.', type='text')]"
vn.role:Location fred:jersey_1 .,"[TextBlock(text='The text ""ALFRED"" appears on the jersey.', type='text')]"
# Symbolic Coercion: The race represents the competition,"[TextBlock(text='The race symbolizes the competitive spirit of the event.', type='text')]"
fred:race_1 a pbrs:race-02 ;,"[TextBlock(text='A race competition is taking place.', type='text')]"
pblr:symbolize-01.symbol fred:compete_2 .,"[TextBlock(text='The moment symbolizes international competition.', type='text')]"
# Symbolic Coercion: The athletes still finishing the race represent the ongoing competition,"[TextBlock(text='Athletes still completing the race symbolize the continuing competition.', type='text')]"
fred:finish_1 a pbrs:finish-01 ;,"[TextBlock(text='The race is being completed.', type='text')]"
pblr:symbolize-01.symbol fred:compete_2 .,"[TextBlock(text='The moment symbolizes international competition.', type='text')]"
# Symbolic Coercion: The stadium represents the venue of the competition,"[TextBlock(text='The stadium serves as the venue where the athletic competition takes place.', type='text')]"
fred:stadium_1 a fred:Stadium ;,"[TextBlock(text='The stadium is a sports venue.', type='text')]"
pblr:symbolize-01.symbol fred:compete_2 .,"[TextBlock(text='The moment symbolizes international competition.', type='text')]"
# Symbolic Coercion: The uniform represents the national team,"[TextBlock(text=""The athlete's Saint Lucia uniform symbolizes national representation."", type='text')]"
fred:uniform_1 a fred:Uniform ;,"[TextBlock(text='The item is a uniform.', type='text')]"
pblr:symbolize-01.symbol fred:country_1 .,"[TextBlock(text='Saint Lucia is symbolized in this moment', type='text')]"
