triple,verbalization
fred:athlete_1 fred:hasEarnedPosition fred:FirstPlace ;,"[TextBlock(text='The athlete from Saint Lucia won first place.', type='text')]"
fred:hasCompletedRace true .,"[TextBlock(text='The athlete has completed the race.', type='text')]"
fred:race_1 fred:hasStatus fred:Completed ;,"[TextBlock(text='The race has been completed.', type='text')]"
fred:isOfficialCompetition true .,"[TextBlock(text='This is an official competition.', type='text')]"
fred:competitors_1 a fred:Group ;,"[TextBlock(text='A group of competitors exists.', type='text')]"
dul:hasMember fred:athlete_1 ;,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:hasRanking fred:RankingList .,"[TextBlock(text='This triple does not appear in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:RankingList fred:hasFirstPlace fred:athlete_1 .,"[TextBlock(text='The jubilant female athlete from Saint Lucia won first place.', type='text')]"
fred:stadium_1 fred:hasStatus fred:ActiveEvent ;,"[TextBlock(text='The stadium is currently hosting an active event.', type='text')]"
fred:isOfficialVenue true .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
fred:uniform_1 fred:isOfficialUniform true ;,"[TextBlock(text='The uniform is an official uniform.', type='text')]"
fred:representingCountry fred:country_1 .,"[TextBlock(text='The athlete represents Saint Lucia.', type='text')]"
fred:event_1 a fred:SportingEvent ;,"[TextBlock(text='This is a sporting event.', type='text')]"
owl:sameAs wd:Q5389 ;,"[TextBlock(text='refers to the Olympic Games', type='text')]"
fred:hasStatus fred:Official ;,"[TextBlock(text='This triple does not appear in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
fred:hasLevel fred:International .,"[TextBlock(text='The competition is at an international level.', type='text')]"
fred:spectator_1 fred:hasPaidAdmission true ;,"[TextBlock(text='The spectator has paid admission.', type='text')]"
fred:isAuthorizedPresence true .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
