triple,verbalization
:ArmsPosition :mappedTo :VERTICALITY .,"[TextBlock(text=""The athlete's outstretched arms symbolize upward victory and triumph."", type='text')]"
:VERTICALITY a :ImageSchema .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
:StadiumSpace :mappedTo :CONTAINMENT .,"[TextBlock(text='The stadium contains the action and participants within its space.', type='text')]"
:CONTAINMENT a :ImageSchema .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
:RaceProgress :mappedTo :SOURCE_PATH_GOAL .,"[TextBlock(text='The athlete progresses along the race track from start to finish.', type='text')]"
:SOURCE_PATH_GOAL a :ImageSchema .,"[TextBlock(text='This triple is not present in the provided graph.', type='text')]"
:CrowdStadium :mappedTo :CENTER-PERIPHERY .,"[TextBlock(text='The stadium is filled with spectators from the center to its outer edges.', type='text')]"
:CENTER-PERIPHERY a :ImageSchema .,"[TextBlock(text='This triple is not present in the provided knowledge graph, so I cannot verbalize it.', type='text')]"
:VictoryPose :mappedTo :FORCE .,"[TextBlock(text=""The athlete's victory pose demonstrates physical force and power."", type='text')]"
:FORCE a :ImageSchema .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
:UniformWearing :mappedTo :COVERING .,"[TextBlock(text=""The athlete's uniform serves as a covering for their body."", type='text')]"
:COVERING a :ImageSchema .,"[TextBlock(text='This triple is not present in the provided knowledge graph.', type='text')]"
fred:stadium_1 :evokes :CONTAINMENT .,"[TextBlock(text='The stadium contains and encloses the athletic event and spectators.', type='text')]"
fred:track_1 :evokes :SOURCE_PATH_GOAL .,"[TextBlock(text='The track represents a path from start to finish for the athletic competition.', type='text')]"
"fred:athlete_1 :evokes :FORCE, :VERTICALITY .","[TextBlock(text=""The jubilant female athlete's triumphant pose projects power and upward energy."", type='text')]"
fred:spectator_1 :evokes :CENTER-PERIPHERY .,"[TextBlock(text='The spectators in the background represent a contrast between the central focus and peripheral elements of the scene.', type='text')]"
fred:uniform_1 :evokes :COVERING .,"[TextBlock(text='The uniform serves as a covering for the athlete.', type='text')]"
